seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr6	26199197	26199485	289	*	X130	8351	26197012	26199521	2510	-	0	inside	35	H3C4
chr6	26225428	26225740	313	*	X131	8353	26225383	26225844	462	+	0	inside	44	H3C6
chr6	74230026	74230463	438	*	X141	1915	74225473	74230755	5283	-	0	inside	291	EEF1A1
chr7	5569706	5569978	273	*	X160	60	5566779	5570232	3454	-	0	inside	253	ACTB
chr7	156432583	156432598	16	*	X175	140545	156433353	156469820	36468	+	754	upstream	754	RNF32
chr7	156432639	156432658	20	*	X176	140545	156433353	156469820	36468	+	694	upstream	694	RNF32
chr8	22461897	22461964	68	*	X183	57805	22462145	22477983	15839	+	180	upstream	180	CCAR2
chr8	62626483	62626715	233	*	X189	100616484	62627347	62627418	72	+	631	upstream	631	MIR4470
chr8	94752566	94752620	55	*	X192	55472	94752339	94753047	709	+	0	inside	226	RBM12B-AS1
chr8	144898207	144898310	104	*	X200	23513	144873090	144897549	24460	-	657	upstream	657	SCRIB
chr8	145912284	145912374	91	*	X201	80728	145754563	145911194	156632	-	1089	upstream	1089	ARHGAP39
chr9	21559156	21559408	253	*	X206	554202	21454267	21559697	105431	-	0	inside	288	MIR31HG
chr9	33025338	33025457	120	*	X207	3301	33025209	33039062	13854	+	0	inside	128	DNAJA1
chr9	86594446	86594480	35	*	X210	80010	86595637	86618987	23351	+	1156	upstream	1156	RMI1
chr9	91933134	91933287	154	*	X216	79048	91933412	91974561	41150	+	124	upstream	124	SECISBP2
chr9	136203248	136203303	56	*	X220	6838	136197552	136203047	5496	-	200	upstream	200	SURF6
chr9	139258405	139258443	39	*	X223	728489	139256352	139258263	1912	-	141	upstream	141	DNLZ
chr9	139258551	139258610	60	*	X224	728489	139256352	139258263	1912	-	287	upstream	287	DNLZ
chr10	65280508	65280815	308	*	X239	221035	65281123	65384883	103761	+	307	upstream	307	REEP3
chr10	74033846	74033904	59	*	X240	54541	74033677	74035797	2121	+	0	inside	168	DDIT4
chr10	135123025	135123220	196	*	X253	118471	135122894	135166187	43294	+	0	inside	130	PRAP1
chr11	842435	842438	4	*	X259	5441	839721	842529	2809	-	0	inside	90	POLR2L
chr11	842435	842438	4	*	X259	7106	842824	867116	24293	+	385	upstream	385	TSPAN4
chr11	18416174	18416358	185	*	X265	3939	18415936	18429765	13830	+	0	inside	237	LDHA
chr11	62559623	62559644	22	*	X273	79064	62557787	62559486	1700	-	136	upstream	136	TMEM223
chr11	62559704	62559789	86	*	X274	79064	62557787	62559486	1700	-	217	upstream	217	TMEM223
chr12	49525034	49525078	45	*	X287	10376	49521567	49525304	3738	-	0	inside	225	TUBA1B
chr12	53343496	53343623	128	*	X288	3856	53290971	53343650	52680	-	0	inside	26	KRT8
chr12	56511799	56511851	53	*	X289	84872	56512030	56516278	4249	+	178	upstream	178	ZC3H10
chr12	125398535	125399134	600	*	X302	100847004	125400093	125400205	113	+	958	upstream	958	MIR5188
chr14	70234580	70234658	79	*	X314	100289511	70233000	70234430	1431	-	149	upstream	149	LOC100289511
chr14	70234756	70234774	19	*	X315	100289511	70233000	70234430	1431	-	325	upstream	325	LOC100289511
chr15	66789939	66789944	6	*	X326	10302	66782666	66790146	7481	-	0	inside	201	SNAPC5
chr16	2205193	2205212	20	*	X336	26788	2205024	2205106	83	-	86	upstream	86	SNORD60
chr16	2205193	2205212	20	*	X336	84231	2205799	2228130	22332	+	586	upstream	586	TRAF7
chr16	2803379	2803391	13	*	X337	100128788	2787077	2802601	15525	-	777	upstream	777	SRRM2-AS1
chr16	3070459	3070526	68	*	X338	51330	3070313	3072383	2071	+	0	inside	145	TNFRSF12A
chr16	3355256	3355309	54	*	X339	7627	3355433	3368576	13144	+	123	upstream	123	ZNF75A
chr16	3355256	3355309	54	*	X339	91151	3348808	3355439	6632	-	0	inside	129	TIGD7
chr16	29984622	29984774	153	*	X346	9344	29985188	30003582	18395	+	413	upstream	413	TAOK2
chr16	30108047	30108113	67	*	X349	83719	30103635	30107537	3903	-	509	upstream	509	YPEL3
chr16	30108252	30108553	302	*	X350	83719	30103635	30107537	3903	-	714	upstream	714	YPEL3
chr16	30108589	30108599	11	*	X351	83719	30103635	30107537	3903	-	1051	upstream	1051	YPEL3
chr17	7476259	7476637	379	*	X371	652965	7478031	7478165	135	+	1393	upstream	1393	SNORA48
chr17	7476917	7476932	16	*	X372	652965	7478031	7478165	135	+	1098	upstream	1098	SNORA48
chr17	7486777	7486833	57	*	X373	9526	7486965	7496107	9143	+	131	upstream	131	MPDU1
chr17	7589282	7589362	81	*	X374	55135	7589389	7606820	17432	+	26	upstream	26	WRAP53
chr17	27047289	27047294	6	*	X384	26808	27047568	27047634	67	+	273	upstream	273	SNORD42B
chr17	27047289	27047294	6	*	X384	6147	27047000	27051374	4375	+	0	inside	288	RPL23A
chr17	40075087	40075155	69	*	X387	47	40023179	40075272	52094	-	0	inside	116	ACLY
chr17	54912471	54912485	15	*	X388	339210	54869274	54911256	41983	-	1214	upstream	1214	C17orf67
chr17	62223481	62223534	54	*	X389	677842	62223699	62223831	133	+	164	upstream	164	SNORA50C
chr17	62223481	62223534	54	*	X389	692227	62223438	62223517	80	+	0	overlapEnd	42	SNORD104
chr17	62501721	62501834	114	*	X390	90799	62503158	62534062	30905	+	1323	upstream	1323	CEP95
chr19	10426783	10426807	25	*	X424	112812	10416066	10426691	10626	-	91	upstream	91	FDX2
chr19	10765667	10765691	25	*	X425	147727	10762538	10764548	2011	-	1118	upstream	1118	ILF3-DT
chr19	13056456	13056460	5	*	X429	5886	13056628	13064457	7830	+	167	upstream	167	RAD23A
chr19	40324910	40325004	95	*	X441	9149	40315990	40324841	8852	-	68	upstream	68	DYRK1B
chr19	49468653	49468749	97	*	X452	2512	49468566	49470136	1571	+	0	inside	86	FTL
chr19	49468823	49469393	571	*	X453	2512	49468566	49470136	1571	+	0	inside	256	FTL
chr19	50000695	50000751	57	*	X454	84546	50000976	50001062	87	+	224	upstream	224	SNORD35B
chr19	59025407	59025537	131	*	X462	10998	58990879	59023432	32554	-	1974	upstream	1974	SLC27A5
chr20	30135259	30135282	24	*	X475	100101490	30135185	30136019	835	+	0	inside	73	MCTS2P
chr20	30193158	30193400	243	*	X476	100422904	30194989	30195043	55	+	1588	upstream	1588	MIR3193
chr20	30193158	30193400	243	*	X476	3397	30193086	30194317	1232	+	0	inside	71	ID1
chr20	62325159	62325185	27	*	X483	8771	62327131	62330051	2921	+	1945	upstream	1945	TNFRSF6B
chr20	62325216	62325228	13	*	X484	8771	62327131	62330051	2921	+	1902	upstream	1902	TNFRSF6B
chr20	62573253	62573276	24	*	X485	100302137	62572818	62572897	80	-	355	upstream	355	MIR1914
chr22	42485850	42486034	185	*	X500	100132273	42486937	42532702	45766	+	902	upstream	902	NDUFA6-DT
chr22	43253726	43253729	4	*	X501	26286	43192532	43253408	60877	-	317	upstream	317	ARFGAP3
chrX	153626833	153626837	5	*	X509	26778	153628622	153628756	135	+	1784	upstream	1784	SNORA70
chrX	153626833	153626837	5	*	X509	6134	153626571	153632038	5468	+	0	inside	261	RPL10
